distance_m,elevation_m,source,description
19203.606,208.847,lutning_start,"Lutning 17.783‰ 717+10->717+32 längd 22.608 m"
19234.842,208.359,lutning_end,"Lutning 16.648‰ 716+779->716+984 längd 204.808 m"
19441.216,204.949,lutning_end,"Lutning 16.764‰ 716+673->716+779 längd 106.074 m"
19550.918,203.171,lutning_start,"Lutning 16.764‰ 716+673->716+779 längd 106.074 m"
19571.247,202.765,lutning_end,"Lutning 17.164‰ 716+593->716+649 längd 56.202 m"
19627.430,201.800,lutning_start,"Lutning 17.164‰ 716+593->716+649 längd 56.202 m"
19912.171,197.030,lutning_start,"Lutning 16.75‰ 716+308->716+593 längd 284.78 m"
20049.586,195.587,lutning_end,"Lutning 4.255‰ 716+123->716+170 längd 47.085 m"
20096.672,195.386,lutning_start,"Lutning 4.255‰ 716+123->716+170 längd 47.085 m"
20187.299,194.659,lutning_end,"Lutning 11.808‰ 716+16->716+33 längd 16.459 m"
20203.743,194.464,lutning_start,"Lutning 11.808‰ 716+16->716+33 längd 16.459 m"
20403.486,193.012,lutning_end,"Lutning 2.727‰ 715+748->715+813 längd 64.349 m"
20467.834,192.837,lutning_start,"Lutning 2.727‰ 715+748->715+813 längd 64.349 m"
20523.527,192.647,lutning_end,"Lutning 4.114‰ 715+642->715+693 längd 50.766 m"
20571.486,192.438,lutning_start,"Lutning 4.114‰ 715+642->715+693 längd 50.766 m"
20601.015,192.371,lutning_end,"Lutning 0.057‰ 715+553->715+610 längd 56.867 m"
20663.989,192.367,lutning_start,"Lutning 0.057‰ 715+553->715+610 längd 56.867 m"
20861.691,193.758,lutning_end,"Lutning -14.093‰ 715+10->715+355 längd 344.35 m"
21209.707,198.611,lutning_start,"Lutning -14.093‰ 715+10->715+355 längd 344.35 m"
21226.601,198.894,lutning_end,"Lutning -13.429‰ 714+527->714+989 längd 462.835 m"
21691.655,205.109,lutning_start,"Lutning -13.429‰ 714+527->714+989 längd 462.835 m"
21710.410,205.398,lutning_end,"Lutning -13.955‰ 713+796->714+505 längd 708.533 m"
22418.888,215.285,lutning_start,"Lutning -13.955‰ 713+796->714+505 längd 708.533 m"
22695.393,215.109,lutning_end,"Lutning 15.192‰ 713+265->713+510 längd 245.699 m"
22950.132,211.376,lutning_start,"Lutning 15.192‰ 713+265->713+510 längd 245.699 m"
23057.628,210.471,lutning_end,"Lutning 2.081‰ 712+711->713+160 längd 447.686 m"
23497.451,209.539,lutning_start,"Lutning 2.081‰ 712+711->713+160 längd 447.686 m"
23627.050,208.684,lutning_end,"Lutning 11.654‰ 712+303->712+587 längd 284.498 m"
23916.448,205.369,lutning_start,"Lutning 11.654‰ 712+303->712+587 längd 284.498 m"
23931.612,205.139,lutning_end,"Lutning 11.152‰ 711+546->712+282 längd 735.818 m"
24671.462,196.934,lutning_start,"Lutning 11.152‰ 711+546->712+282 längd 735.818 m"
24697.680,196.574,lutning_end,"Lutning 12.532‰ 711+496->711+516 längd 20.0 m"
24717.672,196.324,lutning_start,"Lutning 12.532‰ 711+496->711+516 längd 20.0 m"
24757.515,195.846,lutning_end,"Lutning 11.539‰ 711+356->711+456 längd 99.997 m"
24860.655,194.692,lutning_start,"Lutning 11.539‰ 711+356->711+456 längd 99.997 m"
25045.132,193.627,lutning_end,"Lutning -0.201‰ 711+8->711+168 längd 160.497 m"
25208.985,193.660,lutning_start,"Lutning -0.201‰ 711+8->711+168 längd 160.497 m"
25339.223,192.695,lutning_end,"Lutning 14.647‰ 710+484->710+874 längd 389.813 m"
25728.643,186.985,lutning_start,"Lutning 14.647‰ 710+484->710+874 längd 389.813 m"
25868.759,185.825,lutning_end,"Lutning 1.905‰ 710+257->710+344 längd 86.996 m"
25955.755,185.659,lutning_start,"Lutning 1.905‰ 710+257->710+344 längd 86.996 m"
26077.234,184.819,lutning_end,"Lutning 11.985‰ 709+908->710+136 längd 227.741 m"
26304.427,182.090,lutning_start,"Lutning 11.985‰ 709+908->710+136 längd 227.741 m"
26331.925,181.735,lutning_end,"Lutning 13.821‰ 709+824->709+881 längd 56.803 m"
26388.728,180.950,lutning_start,"Lutning 13.821‰ 709+824->709+881 längd 56.803 m"
26423.495,180.539,lutning_end,"Lutning 10.427‰ 709+669->709+790 längd 121.035 m"
26543.643,179.277,lutning_start,"Lutning 10.427‰ 709+669->709+790 längd 121.035 m"
26563.874,179.028,lutning_end,"Lutning 14.175‰ 709+627->709+649 längd 21.178 m"
26585.051,178.728,lutning_start,"Lutning 14.175‰ 709+627->709+649 längd 21.178 m"
26726.471,176.995,lutning_end,"Lutning 11.471‰ 709+415->709+492 längd 76.761 m"
26796.927,176.114,lutning_start,"Lutning 11.471‰ 709+415->709+492 längd 76.761 m"
26823.170,175.802,lutning_end,"Lutning 12.345‰ 708+421->709+389 längd 967.837 m"
27790.828,163.853,lutning_start,"Lutning 12.345‰ 708+421->709+389 längd 967.837 m"
27815.109,163.568,lutning_end,"Lutning 11.131‰ 708+187->708+397 längd 210.0 m"
28025.095,161.231,lutning_start,"Lutning 11.131‰ 708+187->708+397 längd 210.0 m"
28117.434,159.425,lutning_start,"Lutning 11.577‰ 708+24->708+59 längd 35.0 m"
28117.434,159.830,lutning_end,"Lutning 11.577‰ 708+24->708+59 längd 35.0 m"
28117.434,159.425,lutning_start,"Lutning 11.577‰ 708+24->708+59 längd 35.0 m"
28117.434,159.830,lutning_end,"Lutning 11.577‰ 708+24->708+59 längd 35.0 m"
